Region,Region Code,State,State Code,Age Groups,Age Groups Code,Year,Year Code,Count,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
Northeast,CENS-R1,Connecticut,09,< 1 year,1,1999,1999,0,42660,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2000,2000,0,43184,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2001,2001,0,42667,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2002,2002,0,41994,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2003,2003,0,42410,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2004,2004,0,41804,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2005,2005,0,40575,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2006,2006,0,40108,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2007,2007,0,40579,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2008,2008,0,39499,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2009,2009,0,38407,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2010,2010,0,38089,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2011,2011,0,37703,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2012,2012,0,36994,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2013,2013,0,36276,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2014,2014,0,36533,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2015,2015,0,36690,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2016,2016,0,36197,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2017,2017,0,35896,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2018,2018,0,35476,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2019,2019,0,35071,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2020,2020,0,34688,0,0,0,0
Northeast,CENS-R1,Connecticut,09,< 1 year,1,2021,2021,0,33830,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,1999,1999,0,180157,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2000,2000,0,179997,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2001,2001,0,177421,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2002,2002,0,175275,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2003,2003,0,174456,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2004,2004,0,172643,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2005,2005,0,170740,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2006,2006,0,168704,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2007,2007,0,166747,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2008,2008,0,166037,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2009,2009,0,164794,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2010,2010,0,163245,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2011,2011,0,160462,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2012,2012,0,157977,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2013,2013,0,155054,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2014,2014,0,153135,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2015,2015,0,151464,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2016,2016,0,150277,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2017,2017,0,150024,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2018,2018,0,150063,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2019,2019,0,149279,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2020,2020,0,147475,0,0,0,0
Northeast,CENS-R1,Connecticut,09,1-4 years,4-Jan,2021,2021,0,146868,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,1999,1999,0,245385,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2000,2000,0,243110,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2001,2001,0,240158,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2002,2002,0,238119,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2003,2003,0,234623,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2004,2004,0,232092,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2005,2005,0,228703,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2006,2006,0,226250,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2007,2007,0,223656,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2008,2008,0,223384,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2009,2009,0,222900,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2010,2010,0,221929,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2011,2011,0,219950,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2012,2012,0,218481,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2013,2013,0,215700,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2014,2014,0,211620,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2015,2015,0,207678,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2016,2016,0,204437,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2017,2017,0,201813,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2018,2018,0,199358,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2019,2019,0,198120,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2020,2020,0,197089,0,0,0,0
Northeast,CENS-R1,Connecticut,09,5-9 years,9-May,2021,2021,0,196331,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,1999,1999,0,236053,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2000,2000,0,242756,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2001,2001,0,248552,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2002,2002,0,252593,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2003,2003,0,255025,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2004,2004,0,254589,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2005,2005,0,250704,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2006,2006,0,248202,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2007,2007,0,246009,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2008,2008,0,243282,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2009,2009,0,241669,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2010,2010,0,239966,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2011,2011,0,239542,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2012,2012,0,237675,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2013,2013,0,236203,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2014,2014,0,234416,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2015,2015,0,232093,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2016,2016,0,230390,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2017,2017,0,229651,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2018,2018,0,229132,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2019,2019,0,226205,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2020,2020,0,222759,0,0,0,0
Northeast,CENS-R1,Connecticut,09,10-14 years,14-Oct,2021,2021,0,218383,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,1999,1999,0,213162,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2000,2000,0,217105,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2001,2001,Suppressed,225932,Suppressed,Suppressed,Suppressed,Suppressed
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2002,2002,0,232848,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2003,2003,0,237584,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2004,2004,0,242118,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2005,2005,0,248504,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2006,2006,0,251840,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2007,2007,0,253564,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2008,2008,0,254565,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2009,2009,0,253688,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2010,2010,0,253826,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2011,2011,0,258164,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2012,2012,0,259369,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2013,2013,0,257027,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2014,2014,0,256229,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2015,2015,0,254689,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2016,2016,0,253309,0,0,0,0
Northeast,CENS-R1,Connecticut,09,15-19 years,15-19,2017,2017,0,250871,0,0,0,0
